Database,Publisher,Platform,Notes,2013,2014,2015,2016,2017
Academic OneFile,EBSCO,EBSCOhost,,NA,,,NA,NA
Academic Search Complete,EBSCO,EBSCOhost,Subsidized through CARLI,,,,,
Academic Search Premier,EBSCO,EBSCOhost,Subsidized through CARLI,,,NA,NA,NA
AccessAnesthesiology,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessEmergency Medicine,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessEngineering,EBSCO,EBSCOhost,,NA,,,NA,NA
Accessible Archives,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessMedicine,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessPediatrics,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessPharmacy,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessScience,EBSCO,EBSCOhost,,NA,,,NA,NA
AccessSurgery,EBSCO,EBSCOhost,,NA,,,NA,NA
ACLS Humanities E-Book,EBSCO,EBSCOhost,,NA,,,,
Adam Matthew Digital,EBSCO,EBSCOhost,,NA,,,NA,NA
African American Music Reference,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
AGRIS,EBSCO,EBSCOhost,,NA,,,NA,NA
AHFS Consumer Medication Information,EBSCO,EBSCOhost,,,,,,
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,EBSCOhost,,NA,,,NA,NA
Alexander Street Press,EBSCO,EBSCOhost,,NA,,,,
American Doctoral Dissertations,EBSCO,EBSCOhost,,NA,NA,,,
"American Doctoral Dissertations, 1933 - 1955",EBSCO,EBSCOhost,,NA,,NA,NA,NA
American National Biography Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Anatomy & Physiology Online,Primal Pictures,OvidSP,,NA,,,,NA
Aphasiology Archive,EBSCO,EBSCOhost,,NA,,,NA,NA
Archive of European Integration,EBSCO,EBSCOhost,,NA,,,NA,NA
arXiv,EBSCO,EBSCOhost,,NA,,,,
ATLA Religion Database with ATLASerials,EBSCO,EBSCOhost,,,,,,
"ATLASerials, Religion Collection",EBSCO,EBSCOhost,,,,,,
Audiobook Collection (EBSCOhost),EBSCO,EBSCOhost,,,,,,
BiblioBoard,EBSCO,EBSCOhost,,NA,,,NA,NA
Bibliotheksverbund Bayern,EBSCO,EBSCOhost,,NA,,,NA,NA
BioOne Online Journals,EBSCO,EBSCOhost,,NA,,,,
Books at JSTOR,EBSCO,EBSCOhost,,NA,,,NA,NA
Books24x7,EBSCO,EBSCOhost,,NA,,,NA,NA
Brandel Books,EBSCO,EBSCOhost,,NA,,,,
Brandel Media,EBSCO,EBSCOhost,,NA,,,,
Bridgeman Education,EBSCO,EBSCOhost,,NA,,,NA,NA
Britannica Online,EBSCO,EBSCOhost,,NA,,,NA,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,EBSCOhost,,NA,,,NA,NA
British Library EThOS,EBSCO,EBSCOhost,,NA,,,NA,NA
British Standards Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Business Insights: Essentials,EBSCO,EBSCOhost,,NA,,,NA,NA
Business Source Complete,EBSCO,EBSCOhost,,,," $15,046.72 "," $15,648.59 "," $16,274.53 "
Business Source Elite,EBSCO,EBSCOhost,,,,,,
Cairn.info,EBSCO,EBSCOhost,,NA,,,NA,NA
Center for Research Libraries,EBSCO,EBSCOhost,,NA,,,NA,NA
China Science & Technology Journal Database,EBSCO,EBSCOhost,,NA,,,NA,NA
China/Asia On Demand,EBSCO,EBSCOhost,,NA,,,NA,NA
Christian Periodical Index,EBSCO,EBSCOhost,,,,,,
CINAHL,EBSCO,EBSCOhost,,,,NA,NA,NA
CINAHL Complete,EBSCO,EBSCOhost,,,,," $7,616.01 "," $7,920.65 "
Classical Music Reference Library,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
"Classical Scores Library, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Cochrane Central Register of Controlled Trials,EBSCO,EBSCOhost,,,,,,
Cochrane Database of Systematic Reviews,EBSCO,EBSCOhost,,,," $3,587.96 "," $3,803.24 "," $4,031.43 "
Cochrane Methodology Register,EBSCO,EBSCOhost,,,,,,
CogPrints,EBSCO,EBSCOhost,,NA,,,,
Communication & Mass Media Complete,EBSCO,EBSCOhost,,,," $4,434.93 "," $4,612.33 "," $4,796.82 "
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,EBSCOhost,,NA,NA,NA,,
Consumer Health Complete,EBSCO,EBSCOhost,,,,,,
Consumer Health Complete - EBSCOhost,EBSCO,EBSCOhost,,,,,,
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Credo Reference Collections,EBSCO,EBSCOhost,,NA,,,NA,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
CRUSH Reports,EBSCO,EBSCOhost,,NA,,,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,EBSCOhost,,NA,,,NA,NA
Database of Abstracts of Reviews of Effects,EBSCO,EBSCOhost,,,,,,
DBPIA,EBSCO,EBSCOhost,,NA,,,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,EBSCOhost,,NA,,,NA,NA
DigiZeitschriften,EBSCO,EBSCOhost,,NA,,,NA,NA
Directory of Open Access Journals,EBSCO,EBSCOhost,,NA,,,,
Discovery eBooks,EBSCO,EBSCOhost,,NA,,,NA,NA
Dynamed Plus,EBSCO,EBSCOhost,,NA,NA,NA,,
eArticle,EBSCO,EBSCOhost,,NA,,,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,OvidSP,,NA,,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,OvidSP,,NA,,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,OvidSP,,NA,,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,OvidSP,,NA,,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,OvidSP,,NA,,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,OvidSP,,NA,,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,OvidSP,,NA,,NA,NA,NA
eBook Collection (EBSCOhost),EBSCO,EBSCOhost,,,,,,
EBSCO eClassics Collection (EBSCOhost),EBSCO,EBSCOhost,,NA,NA,NA,,
ECONIS,EBSCO,EBSCOhost,,NA,,,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,EBSCOhost,,NA,,,NA,NA
EDS consolidated db (QD facet) no7,EBSCO,EBSCOhost,,NA,NA,NA,,
EDS consolidated db (QD facet) no8,EBSCO,EBSCOhost,,NA,NA,NA,,
EDS consolidated db (QD facet) no9,EBSCO,EBSCOhost,,NA,NA,NA,,
EDS Consolidated NZL,EBSCO,EBSCOhost,,NA,NA,NA,,
EDS consolidation db #1 (coneds1),EBSCO,EBSCOhost,,NA,NA,NA,,
"Education in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Education Research Complete,EBSCO,EBSCOhost,,,," $5,839.93 "," $6,073.53 "," $6,316.47 "
Encyclopedia of the Bible and its Reception Online,EBSCO,EBSCOhost,,NA,NA,NA,,
Energy Citations Database,EBSCO,EBSCOhost,,NA,,,,
Environment Complete,EBSCO,EBSCOhost,,,," $3,996.24 "," $4,156.09 "," $4,322.33 "
ERIC,EBSCO,EBSCOhost,,,,,,
Erudit,EBSCO,EBSCOhost,,NA,,,NA,NA
Expanded Academic ASAP,EBSCO,EBSCOhost,,NA,,,NA,NA
Films on Demand,EBSCO,EBSCOhost,,NA,,,NA,NA
Freedonia Focus Reports,EBSCO,EBSCOhost,,NA,,,NA,NA
Funk & Wagnalls New World Encyclopedia,EBSCO,EBSCOhost,,,,,,
Gale Consolidated DB 2,EBSCO,EBSCOhost,,NA,NA,NA,,
Gale Virtual Reference Library,EBSCO,EBSCOhost,,NA,,,,
Garland Encyclopedia of World Music,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
General OneFile,EBSCO,EBSCOhost,,NA,,,NA,NA
General Reference Center Gold,EBSCO,EBSCOhost,,NA,,,NA,NA
Gigaom Research,EBSCO,EBSCOhost,,NA,,,NA,NA
Government Printing Office Catalog,EBSCO,EBSCOhost,,NA,,,NA,NA
GreenFILE,EBSCO,EBSCOhost,,,,,,
Grove Art Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Grove Music Online,EBSCO,EBSCOhost,,NA,," $2,283.00 "," $3,562.50 "," $2,467.50 "
Harvard Library Bibliographic Dataset,EBSCO,EBSCOhost,,NA,,,NA,NA
Health & Wellness Resource Center,EBSCO,EBSCOhost,,NA,,,NA,NA
Health Business Elite,EBSCO,EBSCOhost,,NA,,,," $1,605.00 "
Health News,EBSCO,EBSCOhost,,,,,,
Health Source - Consumer Edition,EBSCO,EBSCOhost,,,,,,
Health Source: Nursing/Academic Edition,EBSCO,EBSCOhost,,,,,,
Health Technology Assessments,EBSCO,EBSCOhost,,,,,,
HeinOnline,EBSCO,EBSCOhost,,NA,,,NA,NA
Henry Stewart Talks,EBSCO,EBSCOhost,,NA,,,NA,NA
History Reference Center,EBSCO,EBSCOhost,,,,NA,NA,NA
Hoover's Company Profiles,EBSCO,EBSCOhost,,NA,,,NA,NA
HyRead Journal,EBSCO,EBSCOhost,,NA,,,NA,NA
Ibuk.pl,EBSCO,EBSCOhost,,NA,,,NA,NA
IndianJournals.com,EBSCO,EBSCOhost,,NA,,,NA,NA
Industry Studies Working Papers,EBSCO,EBSCOhost,,NA,,,NA,NA
Informit Business Collection,EBSCO,EBSCOhost,,NA,,,NA,NA
Informit Engineering Collection,EBSCO,EBSCOhost,,NA,,,NA,NA
Informit Health Collection,EBSCO,EBSCOhost,,NA,,,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,EBSCOhost,,NA,,,NA,NA
Informit Indigenous Collection,EBSCO,EBSCOhost,,NA,,,NA,NA
Informit Literature & Culture Collection,EBSCO,EBSCOhost,,NA,,,NA,NA
InfoTrac Computer Database,EBSCO,EBSCOhost,,NA,,,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,EBSCOhost,,NA,,,NA,NA
InfoTrac Informe!,EBSCO,EBSCOhost,,NA,,,NA,NA
InfoTrac Junior Edition,EBSCO,EBSCOhost,,NA,,,NA,NA
InfoTrac LegalTrac,EBSCO,EBSCOhost,,NA,,,NA,NA
InfoTrac Newsstand,EBSCO,EBSCOhost,,NA,,,NA,NA
InfoTrac Student Edition,EBSCO,EBSCOhost,,NA,,,NA,NA
J-STAGE,EBSCO,EBSCOhost,,NA,,,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,EBSCOhost,,NA,NA,,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,EBSCOhost,,NA,,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,EBSCOhost,,NA,,,NA,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,EBSCOhost,,NA,,,NA,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,EBSCOhost,,NA,,,NA,NA
JoVE Science Education Database,EBSCO,EBSCOhost,,NA,NA,NA,,NA
JSTOR,NA,Ithaka,,NA,NA," $13,414.44 "," $12,050.00 "," $12,050.00 "
JSTOR 19th Century British Pamphlets,EBSCO,EBSCOhost,,NA,,,,
JSTOR Journals,EBSCO,EBSCOhost,,NA,,,,
Korean Studies Information Service System (KISS),EBSCO,EBSCOhost,,NA,,,NA,NA
KyoboScholar,EBSCO,EBSCOhost,,NA,,,NA,NA
Lan Publishing,EBSCO,EBSCOhost,,NA,,,NA,NA
LDBO consolidated build,EBSCO,EBSCOhost,,NA,NA,NA,,
LexisNexis Academic: Law Reviews,EBSCO,EBSCOhost,,NA,,,,
LexisNexis U.S. Serial Set Digital Collection,EBSCO,EBSCOhost,,NA,,,NA,NA
"Library, Information Science & Technology Abstracts",EBSCO,EBSCOhost,,NA,,,,
Literary Reference Center,EBSCO,EBSCOhost,,,," $6,902.00 "," $7,178.08 "," $7,465.20 "
Literature Resource Center,EBSCO,EBSCOhost,,NA,,,NA,NA
LUNA Commons,EBSCO,EBSCOhost,,NA,,,NA,NA
Manuscriptorium Digital Library,EBSCO,EBSCOhost,,NA,,,NA,NA
Marquis Biographies Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Maruzen eBook Library,EBSCO,EBSCOhost,,NA,,,NA,NA
MAS Ultra - School Edition,EBSCO,EBSCOhost,,,,,,
MasterFILE Premier,EBSCO,EBSCOhost,,,,,,
Media Archive,EBSCO,EBSCOhost,,NA,,,NA,NA
MEDLINE,EBSCO,EBSCOhost,,,,,,
MEDLINE Complete,EBSCO,EBSCOhost,,NA,NA,NA," $4,519.86 "," $9,221.34 "
MEDLINE with Full Text,EBSCO,EBSCOhost,,NA,NA,,,
Mergent Annual Reports Collection,EBSCO,EBSCOhost,,NA,,,,
Mergent Online,EBSCO,EBSCOhost,,NA,NA,NA,,
Military & Government Collection,EBSCO,EBSCOhost,,,,,,
Minority Health Archive,EBSCO,EBSCOhost,,NA,,,NA,NA
Mintel Oxygen Reports,EBSCO,EBSCOhost,,NA,,,NA,NA
MLA Directory of Periodicals,EBSCO,EBSCOhost,,,,,,
MLA International Bibliography,EBSCO,EBSCOhost,,,," $4,733.55 "," $4,970.23 "," $5,169.03 "
Music Online: Opera in Video,Alexander Street Press,Alexander Street Press Platform,,NA,NA,NA,,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Alexander Street Press Platform,,NA,NA,NA,,NA
Naxos Music Library,EBSCO,EBSCOhost,,NA,," $1,093.75 ", $750.00 , $925.00 
Naxos Music Library Jazz,EBSCO,EBSCOhost,,NA,,,NA,NA
Naxos Spoken Word Library,EBSCO,EBSCOhost,,NA,,,NA,NA
Naxos Video Library,EBSCO,EBSCOhost,,NA,,,NA,NA
NBC Learn Higher Ed,EBSCO,EBSCOhost,,NA,,,NA,NA
NBC Learn K-12,EBSCO,EBSCOhost,,NA,,,NA,NA
New Testament Abstracts,EBSCO,EBSCOhost,,,,,,
Newnonmun – 뉴논문,EBSCO,EBSCOhost,,NA,,,NA,NA
NewsBank,EBSCO,EBSCOhost,,NA,,,NA,NA
NewsBank - Archives,EBSCO,EBSCOhost,,NA,,,NA,NA
Newspaper Source,EBSCO,EBSCOhost,,,,,,
Newswires,EBSCO,EBSCOhost,,NA,,,,
NHS Economic Evaluation Database,EBSCO,EBSCOhost,,,,,,
Nursing Education in Video,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
"Nursing Education in Video, 2013",Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Nursing Reference Center,EBSCO,EBSCOhost,,,," $13,696.00 "," $7,490.00 "," $8,014.00 "
OAIster,EBSCO,EBSCOhost,,NA,,,,
OAPEN Library,EBSCO,EBSCOhost,,NA,,,NA,NA
Old Testament Abstracts,EBSCO,EBSCOhost,,,,,,
Opera in Video,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Opposing Viewpoints in Context,EBSCO,EBSCOhost,,NA,,,NA,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,OvidSP,,NA,,,,NA
Oxford's Who's Who & Who Was Who,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford African American Studies Center,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Biblical Studies Online,EBSCO,EBSCOhost,,NA,,,,
Oxford Bibliographies,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Dictionary of National Biography,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Handbooks Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Islamic Studies Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Medicine Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Reference,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Scholarly Editions Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Oxford Scholarship Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Persée,EBSCO,EBSCOhost,,NA,,,NA,NA
Philosopher's Index,EBSCO,EBSCOhost,,,,,NA,NA
Philosophers Index with Full Text,EBSCO,EBSCOhost,,NA,,,,
PhilSci Archive,EBSCO,EBSCOhost,,NA,,,NA,NA
Primary Search,EBSCO,EBSCOhost,,,,,,
Professional Development Collection,EBSCO,EBSCOhost,,,,,,
Project MUSE,EBSCO,EBSCOhost,,NA,,,,
Project MUSE,Johns Hopkins University Press,Project MUSE,,NA,," $11,322.00 "," $11,700.00 "," $6,683.68 "
PsycARTICLES,EBSCO,EBSCOhost,,,," $4,294.95 "," $4,400.00 "," $4,664.00 "
PsycBOOKS,EBSCO,EBSCOhost,,NA,,,NA,NA
PsycCRITIQUES,EBSCO,EBSCOhost,,NA,,,NA,NA
PsycheVisual,EBSCO,EBSCOhost,,NA,,,NA,NA
PsycINFO,EBSCO,EBSCOhost,,,," $3,632.14 "," $3,740.00 "," $3,927.00 "
Public Information Online,EBSCO,EBSCOhost,,NA,,,NA,NA
Publications New Zealand Metadata,EBSCO,EBSCOhost,,NA,,,NA,NA
Publisher Provided Full Text Searching File,EBSCO,EBSCOhost,,NA,,,,
R2 Digital Library,EBSCO,EBSCOhost,,NA,,,NA,NA
RACO,EBSCO,EBSCOhost,,NA,,,NA,NA
RAMBI,EBSCO,EBSCOhost,,NA,,,NA,NA
RCAAP,EBSCO,EBSCOhost,,NA,,,NA,NA
ReadEx,EBSCO,EBSCOhost,,NA,,NA,NA,NA
RECERCAT,EBSCO,EBSCOhost,,NA,,,NA,NA
Regional Business News,EBSCO,EBSCOhost,,,,,,
Research Starters,EBSCO,EBSCOhost,,NA,,,,
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,EBSCOhost,,,," $2,658.30 "," $2,844.38 "," $2,986.59 "
Rivisteweb,EBSCO,EBSCOhost,,NA,,,NA,NA
Rock's Backpages,EBSCO,EBSCOhost,,NA,,,NA,NA
Roubini Global Economics,EBSCO,EBSCOhost,,NA,,,NA,NA
SA ePublications Service,EBSCO,EBSCOhost,,NA,,,NA,NA
ScholarVox,EBSCO,EBSCOhost,,NA,,,NA,NA
SciELO,EBSCO,EBSCOhost,,NA,,,NA,NA
ScienceDirect,EBSCO,EBSCOhost,,NA,,,,
SciTech Connect,EBSCO,EBSCOhost,,NA,,,,
Small Engine Repair Reference Center,EBSCO,EBSCOhost,,NA,,,NA,NA
SocINDEX with Full Text,EBSCO,EBSCOhost,,NA,,," $5,755.98 "," $5,986.21 "
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,EBSCOhost,,NA,,,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,EBSCOhost,,NA,,,NA,NA
Spanish Patient Education,EBSCO,EBSCOhost,,NA,NA,NA,,
SPORTDiscus with Full Text,EBSCO,EBSCOhost,,NA,NA,NA,,
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,,,NA
SpringerMaterials,EBSCO,EBSCOhost,,NA,,,,
SSOAR – Social Science Open Access Repository,EBSCO,EBSCOhost,,NA,,,NA,NA
STAT!Ref,EBSCO,EBSCOhost,,NA,,,,
Supplemental Index,EBSCO,EBSCOhost,,NA,,,,
Swedish National Bibliography,EBSCO,EBSCOhost,,NA,,,NA,NA
SwePub,EBSCO,EBSCOhost,,NA,,,NA,NA
TDX,EBSCO,EBSCOhost,,NA,,,NA,NA
Teacher Reference Center,EBSCO,EBSCOhost,,,,,,
The Criterion Collection,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
The PBS Video Collection,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
University Press Scholarship Online,EBSCO,EBSCOhost,,NA,,,NA,NA
USPTO Patent Applications,EBSCO,EBSCOhost,,NA,,,NA,NA
USPTO Patent Grants,EBSCO,EBSCOhost,,NA,,,NA,NA
World Book,EBSCO,EBSCOhost,,NA,,,NA,NA
World History in Video,Alexander Street Press,Alexander Street Press Platform,,,,,,NA
Acland Anatomy,Direct,Direct,No Usage Information.,,," $4,672.00 "," $4,349.00 "," $4,566.00 "
Chicago manual of style [electronic resource].,Direct,Direct,No Usage Information.,,, $250.00 , $250.00 , $250.00 
Chronicle of Higher Education Online,Direct,Direct,No Usage Information.,,, $694.00 , $722.50 ," $1,125.00 "
Chronicle of Philanthropy Online,Direct,Direct,No Usage Information.,,,, $824.00 , $865.20 
Films On Demand Humanities & Social Sciences Video Collection,Direct,Direct,No Usage Information.,,,," $6,010.26 "," $6,010.26 "
Foundation Directory Online,Direct,Direct,No Usage Information.,,," $6,245.00 "," $10,620.00 "," $7,995.00 "
Historical Chicago Defender (Electronic),Direct,Direct,No Usage Information.,,," $3,045.00 "," $3,136.00 "," $3,230.00 "
Hoover's Online,Direct,Direct,No Usage Information.,,," $2,325.00 "," $2,325.00 "," $2,325.00 "
Humanities Ebook,Direct,Direct,No Usage Information.,,,,, $810.00 
IOP Science,Direct,Direct,No Usage Information.,,," $3,200.00 "," $2,898.00 "," $3,000.00 "
IPA Source,Direct,Direct,No Usage Information.,,, $400.00 , $400.00 , $420.00 
Journal of Chemical Education,Direct,Direct,No Usage Information.,,,,, $582.00 
LexisNexis Academic,Direct,Direct,No Usage Information.,,," $4,809.84 "," $5,006.00 "," $5,154.30 "
LWW Nursing & Health Professions Premier Collection,Direct,Direct,No Usage Information.,,," $16,815.00 "," $17,908.00 "," $18,803.00 "
Morningstar Investment Research Center,Direct,Direct,No Usage Information.,,," $5,152.19 "," $5,306.76 "," $5,467.00 "
Music Online: Reference,Direct,Direct,No Usage Information.,,, $739.20 , $830.59 , $872.12 
OED [electronic resource] : Oxford English dictionary : the definitive record of the English language.,Direct,Direct,No Usage Information.,,, $331.29 , $350.56 , $541.57 
Policy Map,Direct,Direct,No Usage Information.,,,," $3,000.00 "," $3,000.00 "
SAGE Premier ejournals (2012),Direct,Direct,No Usage Information.,,," $37,886.78 "," $39,494.37 "," $42,734.45 "
Science Direct,Direct,Direct,No Usage Information.,,," $14,412.50 "," $16,550.35 "," $17,534.37 "
SciFinder Scholar,Direct,Direct,No Usage Information.,,," $3,050.00 "," $3,394.17 "," $3,250.00 "
STAT!Ref Online Resource,Direct,Direct,No Usage Information.,,,," $6,394.00 "," $1,743.00 "
UpToDate,Direct,Direct,No Usage Information.,,," $10,550.00 "," $10,775.00 "," $11,350.00 "
