Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
Университетская библиотека онлайн - University Library Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
"ABC-CLIO Social Studies Databases, Academic Edition",EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
"ABC-CLIO Social Studies Databases, School Edition",EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Academic OneFile,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Academic Search Complete,EBSCO,EBSCOhost,Subsidized through CARLI,Core Database,,Fiscal Year,,,,,
Academic Search Premier,EBSCO,EBSCOhost,Subsidized through CARLI,Core Database,,Fiscal Year,,,NA,NA,NA
AccessAnesthesiology,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AccessEmergency Medicine,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AccessEngineering,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Accessible Archives,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AccessMedicine,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AccessPediatrics,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AccessPharmacy,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AccessScience,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AccessSurgery,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
ACLS Humanities E-Book,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Adam Matthew Digital,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
African American Music Reference,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
AGRIS,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
AHFS Consumer Medication Information,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Alexander Street Press,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
American Doctoral Dissertations,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,,,
"American Doctoral Dissertations, 1933 - 1955",EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
American National Biography Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Anatomy & Physiology Online,Primal Pictures,OvidSP,,EDS Search,,Fiscal Year,NA,,,,NA
Aphasiology Archive,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Archive of European Integration,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
arXiv,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
ATLA Religion Database with ATLASerials,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
"ATLASerials, Religion Collection",EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Audiobook Collection (EBSCOhost),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
BiblioBoard,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Bibliotheksverbund Bayern,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
BioOne Online Journals,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Books at JSTOR,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Books24x7,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Brandel Books,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Brandel Media,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Bridgeman Education,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Britannica Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
British Library EThOS,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
British Standards Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Business Insights: Essentials,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Business Source Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,14468,15046.72,15648.59,16274.53
Business Source Elite,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Cairn.info,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Center for Research Libraries,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
China Science & Technology Journal Database,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
China/Asia On Demand,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Christian Periodical Index,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
CINAHL,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,NA,NA,NA
CINAHL Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,,7616.01,7920.65
Classical Music Reference Library,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
"Classical Scores Library, Volume 1",Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Cochrane Central Register of Controlled Trials,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Cochrane Database of Systematic Reviews,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,3587.96,3803.24,4031.43
Cochrane Methodology Register,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
CogPrints,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Communication & Mass Media Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,4434.93,4612.33,4796.82
Comprehensive Database of Archaeological Site Records in Japan –全国遺跡報告総覧,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
Consumer Health Complete,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Consumer Health Complete - EBSCOhost,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
"Counseling and Therapy in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Credo Reference Collections,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Criminal Justice and Public Safety in Video,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
CRUSH Reports,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Data-Planet Statistical Datasets & Statistical Ready Reference,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Database of Abstracts of Reviews of Effects,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
DBPIA,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Digital Access to Scholarship at Harvard (DASH),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
DigiZeitschriften,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Directory of Open Access Journals,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Discovery eBooks,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Dynamed Plus,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
eArticle,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
EBM Reviews - ACP Journal Club,American College of Physicians,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Central Register of Controlled Trials,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,OvidSP,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
eBook Collection (EBSCOhost),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
EBSCO eClassics Collection (EBSCOhost),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
ECONIS,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
EDS consolidated db (QD facet) no7,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS consolidated db (QD facet) no8,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS consolidated db (QD facet) no9,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS Consolidated NZL,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
EDS consolidation db #1 (coneds1),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
"Education in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Education Research Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,5839.93,6073.53,6316.47
Encyclopedia of the Bible and its Reception Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
Energy Citations Database,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Environment Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,3996.24,4156.09,4322.33
ERIC,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Erudit,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Expanded Academic ASAP,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Films on Demand,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Freedonia Focus Reports,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Funk & Wagnalls New World Encyclopedia,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Gale Consolidated DB 2,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
Gale Virtual Reference Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Garland Encyclopedia of World Music,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
General OneFile,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
General Reference Center Gold,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Gigaom Research,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Government Printing Office Catalog,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
GreenFILE,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Grove Art Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Grove Music Online,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,NA,,2283,3562.5,2467.5
Harvard Library Bibliographic Dataset,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Health & Wellness Resource Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Health Business Elite,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,NA,,,,1605
Health News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Health Source - Consumer Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Health Source: Nursing/Academic Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Health Technology Assessments,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
HeinOnline,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Henry Stewart Talks,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
History Reference Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,NA,NA,NA
Hoover's Company Profiles,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
HyRead Journal,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Ibuk.pl,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
IndianJournals.com,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Industry Studies Working Papers,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Business Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Engineering Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Health Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Indigenous Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Literature & Culture Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Computer Database,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Informe!,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Junior Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac LegalTrac,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Newsstand,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Student Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
J-STAGE,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
